Date       ,Open      ,High      ,Low       ,Close     ,Adj Close ,Volume
1/03/2024  ,14.18     ,15.00     ,13.99     ,14.95     ,14.95     ,  4890900
4/03/2024  ,14.93     ,15.59     ,14.83     ,15.22     ,15.22     ,  4367600
5/03/2024  ,14.95     ,15.28     ,14.78     ,15        ,15        ,  3152700
6/03/2024  ,15.22     ,15.89     ,14.94     ,15.26     ,15.26     ,  3818100
7/03/2024  ,15.26     ,15.51     ,15.05     ,15.26     ,15.26     ,  2111900
8/03/2024  ,15.4      ,15.63     ,14.52     ,14.65     ,14.65     ,  3165700
11/03/2024 ,14.64     ,14.94     ,14.36     ,14.43     ,14.43     ,  2111900
12/03/2024 ,14.35     ,14.84     ,14.09     ,14.72     ,14.72     ,  2382600
13/03/2024 ,14.69     ,15.2      ,14.62     ,14.87     ,14.87     ,  2898100
14/03/2024 ,14.8      ,15.02     ,14.4      ,14.63     ,14.63     ,  2534200
15/03/2024 ,14.55     ,14.83     ,14.21     ,14.24     ,14.24     ,  4476500
18/03/2024 ,14.25     ,14.3      ,13.9      ,13.91     ,13.91     ,  3490800
19/03/2024 ,13.76     ,13.89     ,13.3      ,13.41     ,13.41     ,  3894700
20/03/2024 ,13.47     ,13.79     ,13.21     ,13.48     ,13.48     ,  3921300
21/03/2024 ,13.56     ,14.02     ,13.48     ,13.66     ,13.66     ,  3382800
22/03/2024 ,13.76     ,13.95     ,13.01     ,13.1      ,13.1      ,  4400000
25/03/2024 ,13.42     ,15.15     ,13.31     ,15.12     ,15.12     , 10416300
26/03/2024 ,15.15     ,15.63     ,14.75     ,15.5      ,15.5      , 17245800
27/03/2024 ,13.05     ,13.72     ,12.8      ,13.17     ,13.17     , 17871300
28/03/2024 ,13.19     ,13.19     ,12.47     ,12.52     ,12.52     ,  8473500
1/04/2024  ,12.63     ,12.67     ,11.55     ,11.99     ,11.99     ,  9207100
2/04/2024  ,11.84     ,11.99     ,11.26     ,11.28     ,11.28     ,  6327700
3/04/2024  ,11.22     ,11.5      ,10.9      ,11.38     ,11.38     ,  4331500
